,Author,Title,Poem,Category
0,Fred Payton,A Day in the Buglife,"
The Ant thinks about her nieces and nephews,
As she watches out the second story window
Of her apartment, waiting for a parade;While, an Assassin Bug below, waits in hidingNear the phone booth; being
Worked on by the Telephone Bug.The Ladybug and the Leafcutter talk,With no thought of danger,Beside the garden; as, the Army Ant Stands guard near the crowded street.The Praying Mantis adjusts his cloth;Before, walking into the church.Meanwhile, the Crane Fly adjustsHis crane for another window, to wash;And sees the Cockroach and the BedbugAbout to…well, we won’t talk about them!A Deathwatch Beetle, on a building top,Is intently watching the Assassin BugBelow – just waiting for the right moment.A formation of Wasps flies overhead;As the Monarch and the Emperor ButterfliesApproach the crowd, awaiting their arrivalIn the Parade of Colors Procession.Water Beetle is pedaling bottled waterTo the waiting masses, on the streets.Suddenly, Robber Fly has darted out Of a store with his haul;Knocking the Assassin Bug down and out!Deathwatch and Firefly immediatelyShoots them both, dead, and savesAnother, “Day in the Life”, in Beetletown.
“I Want To Hold Your Hand”!!!
The Ant thinks about her nieces and nephews,
As she watches out the second story window
Of her apartment, waiting for a parade;
While, an Assassin Bug below, waits in hiding
Near the phone booth; being
Worked on by the Telephone Bug.
The Ladybug and the Leafcutter talk,
With no thought of danger,
Beside the garden; as, the Army Ant 
Stands guard near the crowded street.
The Praying Mantis adjusts his cloth;
Before, walking into the church.
Meanwhile, the Crane Fly adjusts
His crane for another window, to wash;
And sees the Cockroach and the Bedbug
About to…well, we won’t talk about them!
A Deathwatch Beetle, on a building top,
Is intently watching the Assassin Bug
Below – just waiting for the right moment.
A formation of Wasps flies overhead;
As the Monarch and the Emperor Butterflies
Approach the crowd, awaiting their arrival
In the Parade of Colors Procession.
Water Beetle is pedaling bottled water
To the waiting masses, on the streets.
Suddenly, Robber Fly has darted out 
Of a store with his haul;
Knocking the Assassin Bug down and out!
Deathwatch and Firefly immediately
Shoots them both, dead, and saves
Another, “Day in the Life”, in Beetletown.
“I Want To Hold Your Hand”!!!
Written 8-9-14. Had problems pasting and setting parameters. Sorry! ©  on Aug 09 2014 11:24 AM, Fred H. Payton    beetles  • bugs  • holiday  • life  • metaphor  • misc  • nature  • humor     ",Nature
1,spt,Spring - A Poem for the Seasons,"Unveiled in the light of the rising dawn itself,
the beauty of a world once covered in White.
Awoken in a manner slower than anticipated,
unfolding itself across the plains and valleys.
Beautiful are the spectacles which rise again,
and set afire is the horizon in a glorious canvas
of red, orange, and yellow hues of unimaginable
vigor which hold a sense of light in every flower.

The sun climbs from the eastern wheat fields,
eventually towering over the highest mountain,
splitting the valleys with its radiating fashion,
impressing the trees as the wave their leaves",Nature
2,Linda Marshall,The wanderer in the woods,"
	within the woods I wandered
	in the still chill of an autumn day,
	wandering, I pondered
	on the departed necklaces of green,
	the bright fruits and berries now robbed of their lustre
	within the woods I smelt
	the scent of fallen leaves
	grown sodden with the rain
	its fragrance filled my nostrils
	like incense scattered through the air in church
	within the woods I touched
	the fire of fallen leaves,
	russet embers of foliage
	that glowed and glistened
	as if the sun lay underneath my feet
	within the woods I wandered
	in the still chill of an autumn day,
	wandering, I pondered
	on the departed necklaces of green,
	the bright fruits and berries now robbed of their lustre
	within the woods I smelt
	the scent of fallen leaves
	grown sodden with the rain
	its fragrance filled my nostrils
	like incense scattered through the air in church
	within the woods I touched
	the fire of fallen leaves,
	russet embers of foliage
	that glowed and glistened
	as if the sun lay underneath my feet ©  on Nov 23 2013 05:41 AM, Linda Marshall   nature  • thoughts  • spiritual  • personal    ",Nature
3,Dlmchale,Awakening Our Memories,"
We shall sail through the air a thousand country miles -
watch the falcons pirouette in the summer sky;
lunch upon bitter green apples and fermented mangoes
and nap beneath the cool luminous clouds;
quench our thirst with melodious wine
and toss stones down upon frozen lakes.
We shall immortalize poets against the echoing granite walls of time.
In bare feet we will land and dance in verdant green meadows
that carpet a bottomless valley; 
trace our fingertips along the gnarled grooves
of a dying oak and bid it farewell.
We will bathe in babbling brooks that giggle at 
our nakedness and dry ourselves in the wispy autumn winds.
Upon mountaintops, we shall squeeze sunsets between
our forefinger and thumb and slowly open them again to
the shimmering glow of a new moon.
We shall sleep beneath a canopy of universes and compose
our dreams against shimmering stars;
build wet sandcastles fit for kings on foreign shores
and feed them to the ravenous surf.
Beneath cascading waterfalls we'll write tumbling
verse, while angelfish nibble at our dropped metaphors.
In the Mascarene Islands, we will fly kites built from 
forest reeds and raffia palms until they are swallowed
by drifting winter clouds.
The return to a new day awaits us, and a thousand more
miles beneath our balloon before this life is drawn complete.
Awakening a memory, we close our eyes 
and the colors of life’s possibilities explode beneath our lids.
	 

We shall sail through the air a thousand country miles -

watch the falcons pirouette in the summer sky;

lunch upon bitter green apples and fermented mangoes

and nap beneath the cool luminous clouds;

quench our thirst with melodious wine

and toss stones down upon frozen lakes.

	 

We shall immortalize poets against the echoing granite walls of time.

In bare feet we will land and dance in verdant green meadows

that carpet a bottomless valley; 

trace our fingertips along the gnarled grooves

of a dying oak and bid it farewell.

	 

We will bathe in babbling brooks that giggle at 

our nakedness and dry ourselves in the wispy autumn winds.

Upon mountaintops, we shall squeeze sunsets between

our forefinger and thumb and slowly open them again to

the shimmering glow of a new moon.

	 

We shall sleep beneath a canopy of universes and compose

our dreams against shimmering stars;

build wet sandcastles fit for kings on foreign shores

and feed them to the ravenous surf.

	 

Beneath cascading waterfalls we'll write tumbling

verse, while angelfish nibble at our dropped metaphors.

In the Mascarene Islands, we will fly kites built from 

forest reeds and raffia palms until they are swallowed

by drifting winter clouds.

	 

The return to a new day awaits us, and a thousand more

miles beneath our balloon before this life is drawn complete.

Awakening a memory, we close our eyes 

and the colors of life’s possibilities explode beneath our lids. ©  on Jan 23 2013 10:26 AM, Dennis McHale   thoughts  • love  • personal  • life  • hope  • spiritual  • nature     ",Nature
4,Front Porch Muse,Prospector / Archived repost,"
→ Show additional poem info
	We move along life's pathway seeking our fortune, we rarely think where it truly leads and how it may turn out.
	Photo courtesy of Photo Bucket
	Two Years ago
	 

		The Prospector
		The meadow in winter;
		abandon nests,
		bleached bones of trees;
		no rain filling streams,
		brown tufts of
		prairie grass
		lay dormant atop red clay.
		beneath a gray
		cold sky…
		moon light casting
		shadows through
		spider webs sewn on
		winter shrubs.
		through the skeleton
		trees the north
		wind changes south
		a hidden distant horizon where
		images float;
		the feral herds graze
		tossing red-brown dust
		of drought.
		broken fences left eschew
		rusted wire collecting
		morning dew as
		tumbleweeds bury rotting
		birds with no wings.
		insects dance away
		from a rising sun and
		shadows scurry behind rabbits
		chasing their imagination
		on a lonely plain with
		few birds taking flight
		silhouetted
		against a distant mesa
		chimney rock; morning
		light strikes revealing
		a straw hat half buried in the sand.
		heat waves begin stirring a spring wind
		uncovering a truth.
		here bony fingers of a hand
		reaching to the amber sky
		above, below; a mesquite
		where a blank eyed
		skull watches a
		desert sparrow as
		she drinks early morning
		dew.
		Jerryd. 2011 
 
 
	By jerry desbrow - a. j. anon, © 2011, All rights reserved. 

→ Show additional poem info
 
	Author notes 

	We move along life's pathway seeking our fortune, we rarely think where it truly leads and how it may turn out.
	Photo courtesy of Photo Bucket
	Two Years ago ©  on Jan 04 2013 04:55 PM, Jerry Desbrow   nature  • thoughts  • humanity  • freewrite    ",Nature
5,Swtpoetryman,(Carolina),"CAROLINA
(from ROAD POEMS / POEMS & SONGS of A TRAVELING MAN! - coming SOON!)



In a Carolina Diner,
I met a southern man,
who said - he'd been to China,
and he was a fan,
of Brautigan and Kesey,
of Kerouac and Co,
 he met in The Sixties,
many moons, ago -


cruising 

d
o
w
n

the highway,
when he was a lad,
in a red corvette,
with his Hipster Dad,
who swore he'd 

leave

'The Sticks',
and get 'his kicks', one day,
on Route 66,

p
u
f
f
i
n

on a J.


And then he said his Dad,
looked a lot like me,
as he  opened up  his wallet,
so that I could see,
Dad's salt and pepper hair,
and his white goatee,
like a vision in a stream,
staring back at me.
",Nature
6,Dlmchale,Awakening a Memory,"
	I have walked a thousand country miles -
	watched the falcons pirouette in the summer sky;
	lunched upon bitter green apples and fermented mangoes
	and napped beneath the hot luminous clock;
	quenched my thirst with melodious silver spring water
	and skipped stones across frozen lakes.
	I’ve immortalized poets against the echoing granite walls of time.
	In bare feet I danced in verdant green meadows
	that carpet a bottomless valley;
	traced my fingertips along the gnarled grooves
	of a dying oak and bid it farewell.
	I have bathed in babbling brooks that giggled at
	my nakedness and dried myself in the wispy autumn winds.
	Upon mountaintops, I have squeezed sunsets between
	my forefinger and thumb and slowly opened them again to
	the shimmering glow of a new moon.
	I have slept beneath a canopy of universes and composed
	my dreams against shimmering stars;
	built wet sandcastles fit for kings on foreign shores
	and fed them to the ravenous surf.
	Beneath cascading waterfalls were written tumbling
	verse, while angelfish nibbled at my dropped metaphors.
	 
	In the Mascarene Islands, I flew kites built from
	forest reeds and raffia palms until they were swallowed
	by drifting winter clouds.
	The return to a new day awaits me, and a thousand more
	miles beneath my feet before this life is drawn complete.
	Awakening a memory, I close my eyes
	and the colors of life’s possibilities explode beneath my lids.
	I have walked a thousand country miles -
	watched the falcons pirouette in the summer sky;
	lunched upon bitter green apples and fermented mangoes
	and napped beneath the hot luminous clock;
	quenched my thirst with melodious silver spring water
	and skipped stones across frozen lakes.

	 

	I’ve immortalized poets against the echoing granite walls of time.
	In bare feet I danced in verdant green meadows
	that carpet a bottomless valley;
	traced my fingertips along the gnarled grooves
	of a dying oak and bid it farewell.

	 

	I have bathed in babbling brooks that giggled at
	my nakedness and dried myself in the wispy autumn winds.
	Upon mountaintops, I have squeezed sunsets between
	my forefinger and thumb and slowly opened them again to
	the shimmering glow of a new moon.

	 

	I have slept beneath a canopy of universes and composed
	my dreams against shimmering stars;
	built wet sandcastles fit for kings on foreign shores
	and fed them to the ravenous surf.

	Beneath cascading waterfalls were written tumbling
	verse, while angelfish nibbled at my dropped metaphors.
	 

	In the Mascarene Islands, I flew kites built from
	forest reeds and raffia palms until they were swallowed
	by drifting winter clouds.

	 

	The return to a new day awaits me, and a thousand more
	miles beneath my feet before this life is drawn complete.
	Awakening a memory, I close my eyes
	and the colors of life’s possibilities explode beneath my lids. ©  on Jan 18 2012 08:31 AM, Dennis McHale   personal  • life  • nature  • hope     ",Nature
7,Chloe Ren,Christchurch River,"
Gently singing,
	A sleepy breeze,
	Sifts through,
	The ribbons of leaves,
	Which stretch down,
	To the towns,
	Lonely river-
	An ageing, tired fool,
	Who winds,
	And finds,
	His way about the willows,
	On the bank.
	Day after day,
	Of duckling waddles-
	And paddles-
	And puddles-
	Which glint
	In the frozen sun,
	And chills,
	The bills,
	Of the ducks,
	In the weeds.
	Benches rest,
	The scarved folk,
	Who do their best,
	To feed,
	The birds,
	And watch,
	The river-
	Dither, away,
	Under bridges of stone,
	That echo the moans,
	Of the willows.
	And all reflections,
	Ripple calmly,
	Against the blue-grey wash,
	Of the sky.
	But as night,
	Churns, the light,
	Into silky blackness,
	The moon,
	Tunes, it's voice,
	And sings along-
	The words,
	Melting into moonlight,
	And filling-
	Only the willing-
	Ears of the night.
	And when it's song,
	Has been long,
	enough-
	The sun breaks,
	The horizon chains,
	of the city,
	And once again,
	Stains, everything with
	Cold blood,
	A flood,
	Too spry,
	And mocking,
	For normality.
	Then quick as it came,
	The tame,
	Blue-grey,
	Rolls over the sunrise,
	And cries,
	To the city,
	To wake,
	And take,
	Their usually way about life.
	But some,
	Still come,
	To the river,
	To dither,
	And watch the willows,
	And ducks,
	And bridges of stone-
	And cherish the moans,
	That call for the moon,
	To sing,
	Once more.
	 
Gently singing,
	A sleepy breeze,
	Sifts through,
	The ribbons of leaves,
	Which stretch down,
	To the towns,
	Lonely river-
	An ageing, tired fool,
	Who winds,
	And finds,
	His way about the willows,
	On the bank.
	Day after day,
	Of duckling waddles-
	And paddles-
	And puddles-
	Which glint
	In the frozen sun,
	And chills,
	The bills,
	Of the ducks,
	In the weeds.
	Benches rest,
	The scarved folk,
	Who do their best,
	To feed,
	The birds,
	And watch,
	The river-
	Dither, away,
	Under bridges of stone,
	That echo the moans,
	Of the willows.
	And all reflections,
	Ripple calmly,
	Against the blue-grey wash,
	Of the sky.
	But as night,
	Churns, the light,
	Into silky blackness,
	The moon,
	Tunes, it's voice,
	And sings along-
	The words,
	Melting into moonlight,
	And filling-
	Only the willing-
	Ears of the night.
	And when it's song,
	Has been long,
	enough-
	The sun breaks,
	The horizon chains,
	of the city,
	And once again,
	Stains, everything with
	Cold blood,
	A flood,
	Too spry,
	And mocking,
	For normality.
	Then quick as it came,
	The tame,
	Blue-grey,
	Rolls over the sunrise,
	And cries,
	To the city,
	To wake,
	And take,
	Their usually way about life.
	But some,
	Still come,
	To the river,
	To dither,
	And watch the willows,
	And ducks,
	And bridges of stone-
	And cherish the moans,
	That call for the moon,
	To sing,
	Once more.
	  ©  on Nov 14 2011 05:02 PM   thoughts  • personal  • life  • nature     ",Nature
8,Pam Ray,for my father in ICU,"sassafras comets stuck between the couch cushionsin a remote control universe, he's a jazz clown​ ​​​mimeing castles,tip-toeing the dark notesbetween Braille-ed ivories she carries  crumbling towersat the cross sectionof her Cuyahoga blues, they each hada once upon a timestored awaybut those dishes ran awaywith somebody else's spoon, a thief's collectionof painted lips and dented seagull wings, it's easier to forget the dirt at the rootswhen you're tossingpaper umbrellasto hang a sleeping moon.         
sassafras comets 
stuck between the couch cushions
in a remote control universe,
 
he's a jazz clown​ ​​​mimeing castles,
tip-toeing the dark notes
between Braille-ed ivories
 
she carries  crumbling towers
at the cross section
of her Cuyahoga blues,
 
they each had
a once upon a time
stored away
but those dishes ran away
with somebody else's spoon,
 
a thief's collection
of painted lips 
and dented seagull wings,
 
it's easier to forget 
the dirt at the roots
when you're tossing
paper umbrellas
to hang a sleeping moon.
 
 
 
 
 
 
 
 
 
 ©  on Apr 15        ",Nature
9,WandaLeaBrayton,Cartography,"
He is riven by the delta's whirl,
unable to disengage from the sandbar's grip,
his currents lost to an unknown tide.
He understands 
the secret language of Spanish moss and pleads 
for magnolias to fill his eyes once more.
Beneath nascent loam, his roots are tender,
seeking anchor.
Trailing through dark waters, his fingers 
discover sharp edges of shells, 
once containers of life, 
now bereft of a single notion
or an ocean's small sigh.
He weeps quietly as the moon rises in silent song; 
a burning wave of salt flows across his features
as if in afterthought, his sextant mislaid, perhaps even forgotten
as he remembers the seasonal paths of stars,
sculpting geography of countries he's never seen.
Painting credit: ""Old Canoe"" by Anna Bain
Inspired by the poem ""Boy and Egg"" by Naomi Shihab Nye
http://www.poetryfoundation.org/poem/175735
The main inspiration came from these specific lines:
""riveted to the secret of birds
	caught up inside his fist,""
which, in turn, influenced my lines:
""Trailing through dark waters, his fingers 
discover sharp edges of shells, 
once containers of life,""
Also, the title of the prompt poem inspired this, as well: ""Boy and Egg"".
Please see my column ""Naomi Shihab Nye: Information and Sources""
http://allpoetry.com/column/10158325-Naomi_Shihab_Nye_Information_and_Sources-by-WandaLeaBrayton
	 

	 

	 

	 

	 

He is riven by the delta's whirl,

unable to disengage from the sandbar's grip,

his currents lost to an unknown tide.

	 

He understands 

the secret language of Spanish moss and pleads 

for magnolias to fill his eyes once more.

	 

Beneath nascent loam, his roots are tender,

seeking anchor.

	 

Trailing through dark waters, his fingers 

discover sharp edges of shells, 

	 

once containers of life, 

	 

now bereft of a single notion

or an ocean's small sigh.

	 

He weeps quietly as the moon rises in silent song; 

a burning wave of salt flows across his features

as if in afterthought, his sextant mislaid, perhaps even forgotten

as he remembers the seasonal paths of stars,

	 

sculpting geography of countries he's never seen.

	 

	 

	 

	 

	 

	 

	 

Painting credit: ""Old Canoe"" by Anna Bain

Inspired by the poem ""Boy and Egg"" by Naomi Shihab Nye

http://www.poetryfoundation.org/poem/175735

The main inspiration came from these specific lines:

""riveted to the secret of birds
	caught up inside his fist,""

which, in turn, influenced my lines:

""Trailing through dark waters, his fingers 

discover sharp edges of shells, 

once containers of life,""

Also, the title of the prompt poem inspired this, as well: ""Boy and Egg"".

Please see my column ""Naomi Shihab Nye: Information and Sources""

http://allpoetry.com/column/10158325-Naomi_Shihab_Nye_Information_and_Sources-by-WandaLeaBrayton

	 
 ©  on Sep 13 2012 02:27 AM, Wanda Lea Brayton    favoritewriters  • hope  • life  • love  • nature  • personal  • sad  • spiritual  • spotlight    ",Nature
